nějaký mladý muž (1.p.);ein junger Mann;
nějaký mladý muž (2.p.);eines jungen Mannes;
nějaký mladý muž (3.p.);einem jungen Mann;
nějaký mladý muž (4.p.);einen jungen Mann;
(nějací) mladí muži (1.p.);junge Männer;
(nějací) mladí muži (2.p.);junger Männer;
(nějací) mladí muži (3.p.);jungen Männern;
(nějací) mladí muži (4.p.);junge Männer;
nějaké malé dítě (1.p.);ein kleines Kind;
nějaké malé dítě (2.p.);eines kleinen Kindes;
nějaké malé dítě (3.p.);einem kleinen Kind;
nějaké malé dítě (4.p.);ein kleines Kind;
(nějaké) malé děti (1.p.);kleine Kinder;
(nějaké) malé děti (2.p.);kleiner Kinder;
(nějaké) malé děti (3.p.);kleinen Kindern;
(nějaké) malé děti (4.p.);kleine Kinder;
nějaká mladá žena (1.p.);eine junge Frau;
nějaká mladá žena (2.p.);einer jungen Frau;
nějaká mladá žena (3.p.);einer jungen Frau;
nějaká mladá žena (4.p.);eine junge Frau;
(nějaké) mladé ženy (1.p.);junge Frauen;
(nějaké) mladé ženy (2.p.);junger Frauen;
(nějaké) mladé ženy (3.p.);jungen Frauen;
(nějaké) mladé ženy (4.p.);junge Frauen;
nějaký černý stůl (1.p.);ein schwarzer Tisch;
nějaký černý stůl (2.p.);eines schwarzen Tisches;
nějaký černý stůl (3.p.);einem schwarzen Tisch;
nějaký černý stůl (4.p.);einen schwarzen Tisch;
(nějaké) černé stoly (1.p.);schwarze Tische;
(nějaké) černé stoly (2.p.);schwarzer Tische;
(nějaké) černé stoly (3.p.);schwarzen Tischen;
(nějaké) černé stoly (4.p.);schwarze Tische;
nějaké černé auto (1.p.);ein schwarzes Auto;
nějaké černé auto (2.p.);eines schwarzen Autos;
nějaké černé auto (3.p.);einem schwarzen Auto;
nějaké černé auto (4.p.);ein schwarzes Auto;
(nějaké) malé auta (1.p.);kleine Autos;
(nějaké) malé auta (2.p.);kleiner Autos;
(nějaké) malé auta (3.p.);kleinen Autos;
(nějaké) malé auta (4.p.);kleine Autos;
nějaká černá barva (1.p.);eine schwarze Farbe;
nějaká černá barva (2.p.);einer schwarzen Farbe;
nějaká černá barva (3.p.);einer schwarzen Farbe;
nějaká černá barva (4.p.);eine schwarze Farbe;
(nějaké) staré barvy (1.p.);alte Farben;
(nějaké) staré barvy (2.p.);alter Farben;
(nějaké) staré barvy (3.p.);alten Farben;
(nějaké) staré barvy (4.p.);alte Farben;
nějaký starý lékař (1.p.);ein alter Arzt;
nějaký starý lékař (2.p.);eines alten Arztes;
nějaký starý lékař (3.p.);einem alten Arzt;
nějaký starý lékař  (4.p.);einen alten Arzt;
(nějací) staří lékaři (1.p.);alte Ärzte;
(nějací) staří lékaři (2.p.);alter Ärzte;
(nějací) staří lékaři (3.p.);alten Ärzten;
(nějací) staří lékaři (4.p.);alte Ärzte;
nějaký černý dům (1.p.);ein schwarzes Haus;
nějaký černý dům (2.p.);eines schwarzen Hauses;
nějaký černý dům (3.p.);einem schwarzen Haus;
nějaký černý dům (4.p.);ein schwarzes Haus;
(nějaké) červené domy (1.p.);rote Häuser;
(nějaké) červené domy (2.p.);roter Häuser;
(nějaké) červené domy (3.p.);roten Häusern;
(nějaké) červené domy (4.p.);rote Häuser;
nějaká stará adresa (1.p.);eine alte Adresse;
nějaká stará adresa (2.p.);einer alten Adresse;
nějaká stará adresa (3.p.);einer alten Adresse;
nějaká stará adresa (4.p.);eine alte Adresse;
(nějaké) krátké adresy (1.p.);kurze Adressen;
(nějaké) krátké adresy (2.p.);kurzer Adressen;
(nějaké) krátké adresy (3.p.);kurzen Adressen;
(nějaké) krátké adresy (4.p.);kurze Adressen;
nějaké červené jablko (1.p.);ein roter Apfel;
nějaké červené jablko (2.p.);eines roten Apfels;"""Apfel"" končí na nepřízvučné ""-el""-takže v genitivu singuláru přibírá pouze ""-s""a  ne ""-es"""
nějaké červené jablko (3.p.);einem roten Apfel;
nějaké červené jablko (4.p.);einen roten Apfel;
(nějaká) stará jablka (1.p.);alte Äpfel;
(nějaká) stará jablka (2.p.);alter Äpfel;
(nějaká) stará jablka (3.p.);alten Äpfeln;
(nějaká) stará jablka (4.p.);alte Äpfel;
nějaká červená postel (1.p.);ein rotes Bett;
nějaká červená postel (2.p.);eines roten Bettes;
nějaká červená postel (3.p.);einem roten Bett;
nějaká červená postel (4.p.);ein rotes Bett;
(nějaké) černé postele (1.p.);schwarze Betten;
(nějaké) černé postele (2.p.);schwarzer Betten;
(nějaké) černé postele (3.p.);schwarzen Betten;
(nějaké) černé postele (4.p.);schwarze Betten;
nějaká krátká otázka (1.p.);eine kurze Frage;
nějaká krátká otázka (2.p.);einer kurzen Frage;
nějaká krátká otázka (3.p.);einer kurzen Frage;
nějaká krátká otázka (4.p.);eine kurze Frage;
(nějaké) staré otázky (1.p.);alte Fragen;
(nějaké) staré otázky (2.p.);alter Fragen;
(nějaké) staré otázky (3.p.);alten Fragen;
(nějaké) staré otázky (4.p.);alte Fragen;
nějaký mladý učitel (1.p.);ein junger Lehrer;
nějaký mladý učitel (2.p.);eines jungen Lehrers;"""Lehrer"" končí na nepřízvučné ""-er"" takže genitiv je ""Lehrers"" ne ""Lehreres"""
nějaký mladý učitel (3.p.);einem jungen Lehrer;
nějaký mladý učitel (4.p.);einen jungen Lehrer;
(nějací) staří učitelé (1.p.);alte Lehrer;
(nějací) staří učitelé (2.p.);alter Lehrer;
(nějací) staří učitelé (3.p.);alten Lehrern;
(nějací) staří učitelé (4.p.);alte Lehrer;
nějaký černý obrázek (1.p.);ein schwarzes Bild;
nějaký černý obrázek (2.p.);eines schwarzen Bildes;
nějaký černý obrázek (3.p.);einem schwarzen Bild;
nějaký černý obrázek (4.p.);ein schwarzes Bild;
(nějaké) staré obrázky (1.p.);alte Bilder;
(nějaké) staré obrázky (2.p.);alter Bilder;
(nějaké) staré obrázky (3.p.);alten Bildern;
(nějaké) staré obrázky (4.p.);alte Bilder;
nějaká černá lampa (1.p.);eine schwarze Lampe;
nějaká černá lampa (2.p.);einer schwarzen Lampe;
nějaká černá lampa (3.p.);einer schwarzen Lampe;
nějaká černá lampa (4.p.);eine schwarze Lampe;
(nějaké) malé lampy (1.p.);kleine Lampen;
(nějaké) malé lampy (2.p.);kleiner Lampen;
(nějaké) malé lampy (3.p.);kleinen Lampen;
(nějaké) malé lampy (4.p.);kleine Lampen;
nějaký starý stůl (1.p.);ein alter Tisch;
nějaký starý stůl (2.p.);eines alten Tisches;
nějaký starý stůl (3.p.);einem alten Tisch;
nějaký starý stůl (4.p.);einen alten Tisch;
(nějací) mladí lékaři (1.p.);junge Ärzte;
(nějací) mladí lékaři (2.p.);junger Ärzte;
(nějací) mladí lékaři (3.p.);jungen Ärzten;
(nějací) mladí lékaři (4.p.);junge Ärzte;
nějaká krátká postel (1.p.);ein kurzes Bett;
nějaká krátká postel (2.p.);eines kurzen Bettes;
nějaká krátká postel (3.p.);einem kurzen Bett;
nějaká krátká postel (4.p.);ein kurzes Bett;
(nějaké) staré postele (1.p.);alte Betten;
(nějaké) staré postele (2.p.);alter Betten;
(nějaké) staré postele (3.p.);alten Betten;
(nějaké) staré postele (4.p.);alte Betten;
nějaká krátká adresa (1.p.);eine kurze Adresse;
nějaká krátká adresa (2.p.);einer kurzen Adresse;
nějaká krátká adresa (3.p.);einer kurzen Adresse;
nějaká krátká adresa (4.p.);eine kurze Adresse;
(nějaké) černé lampy (1.p.);schwarze Lampen;
(nějaké) černé lampy (2.p.);schwarzer Lampen;
(nějaké) černé lampy (3.p.);schwarzen Lampen;
(nějaké) černé lampy (4.p.);schwarze Lampen;