mladá láska (1.p.-bez členu);junge Liebe;xx
mladá láska (2.p.-bez členu);junger Liebe;
mladá láska (3.p.-bez členu);junger Liebe;
mladá láska (4.p.-bez členu);junge Liebe;
mladé lásky  (1.p.-bez členu);junge Lieben;
mladé lásky  (2.p.-bez členu);junger Lieben;
mladé lásky  (3.p.-bez členu);jungen Lieben;
mladé lásky  (4.p.-bez členu);junge Lieben;
velký úspěch  (1.p.-bez členu);großer Erfolg;
velký úspěch  (2.p.-bez členu);großen Erfolgs;
velký úspěch  (3.p.-bez členu);großem Erfolg;
velký úspěch  (4.p.-bez členu);großen Erfolg;
velké úspěchy (1.p.-bez členu);große Erfolge;
velké úspěchy (2.p.-bez členu);großer Erfolge;
velké úspěchy (3.p.-bez členu);großen Erfolgen;
velké úspěchy (4.p.-bez členu);große Erfolge;
starý strach (1.p.-bez členu);alte Angst;
starý strach (2.p.-bez členu);alter Angst;
starý strach (3.p.-bez členu);alter Angst;
starý strach (4.p.-bez členu);alte Angst;
staré strachy (1.p.-bez členu);alte Ängste;
staré strachy (2.p.-bez členu);alter Ängste;
staré strachy (3.p.-bez členu);alten Ängsten;
staré strachy (4.p.-bez členu);alte Ängste;
horké víno (1.p.-bez členu);heißer Wein;
horké víno (2.p.-bez členu);heißen Weins;
horké víno (3.p.-bez členu);heißem Wein;
horké víno (4.p.-bez členu);heißen Wein;
horké vína  (1.p.-bez členu);heiße Weine;
horké vína  (2.p.-bez členu);heißer Weine;
horké vína  (3.p.-bez členu);heißen Weinen;
horké vína  (4.p.-bez členu);heiße Weine;
čerstvá polévka (1.p.-bez členu);frische Suppe;
čerstvá polévka (2.p.-bez členu);frischer Suppe ;
čerstvá polévka (3.p.-bez členu);frischer Suppe;
čerstvá polévka (4.p.-bez členu);frische Suppe;
čerstvé polévky (1.p.-bez členu);frische Suppen;
čerstvé polévky (2.p.-bez členu);frischer Suppen;
čerstvé polévky (3.p.-bez členu);frischen Suppen;
čerstvé polévky (4.p.-bez členu);frische Suppen;
horká polévka (1.p.-bez členu);heiße Suppe;
horká polévka (2.p.-bez členu);heißer Suppe;
horká polévka (3.p.-bez členu);heißer Suppe;
horká polévka (4.p.-bez členu);heiße Suppe;
horké polévky (1.p.-bez členu);heiße Suppen;
horké polévky (2.p.-bez členu);heißer Suppen;
horké polévky (3.p.-bez členu);heißen Suppen;
horké polévky (4.p.-bez členu);heiße Suppen;
stará práce (1.p.-bez členu);alte Arbeit;
stará práce (2.p.-bez členu);alter Arbeit;
stará práce (3.p.-bez členu);alter Arbeit;
stará práce (4.p.-bez členu);alte Arbeit;
staré práce (1.p.-bez členu);alte Arbeiten;
staré práce (2.p.-bez členu);alter Arbeiten;
staré práce (3.p.-bez členu);alten Arbeiten;
staré práce (4.p.-bez členu);alte Arbeiten;
stará láska (1.p.-bez členu);alte Liebe;
stará láska (2.p.-bez členu);alter Liebe;
stará láska (3.p.-bez členu);alter Liebe;
stará láska (4.p.-bez členu);alte Liebe;
velký oheň (1.p.-bez členu);großes Feuer;
velký oheň (2.p.-bez členu);großen Feuers;
velký oheň (3.p.-bez členu);großem Feuer;
velký oheň (4.p.-bez členu);großes Feuer;
čerstvý chléb (1.p.-bez členu);frisches Brot;
čerstvý chléb (2.p.-bez členu);frischen Brots;
čerstvý chléb (3.p.-bez členu);frischem Brot;
čerstvý chléb (4.p.-bez členu);frisches Brot;
čerstvé chleby (1.p.-bez členu);frische Brote;
čerstvé chleby (2.p.-bez členu);frischer Brote;
čerstvé chleby (3.p.-bez členu);frischen Broten;
čerstvé chleby (4.p.-bez členu);frische Brote;
starý úspěch (1.p.-bez členu);alter Erfolg;
starý úspěch (2.p.-bez členu);alten Erfolgs;
starý úspěch (3.p.-bez členu);altem Erfolg;
starý úspěch (4.p.-bez členu);alten Erfolg;
staré úspěchy (1.p.-bez členu);alte Erfolge;
staré úspěchy (2.p.-bez členu);alter Erfolge;
staré úspěchy (3.p.-bez členu);alten Erfolgen;
staré úspěchy (4.p.-bez členu);alte Erfolge;
velký strach (1.p.-bez členu);große Angst;
velký strach (2.p.-bez členu);großer Angst;
velký strach (3.p.-bez členu);großer Angst;
velký strach (4.p.-bez členu);große Angst;
velké strachy (1.p.-bez členu);große Ängste;
velké strachy (2.p.-bez členu);großer Ängste;
velké strachy (3.p.-bez členu);großen Ängsten;
velké strachy (4.p.-bez členu);große Ängste;
horký chléb (1.p.-bez členu);heißes Brot;
horký chléb (2.p.-bez členu);heißen Brots;
horký chléb (3.p.-bez členu);heißem Brot;
horký chléb (4.p.-bez členu);heißes Brot;
horké chleby (1.p.-bez členu);heiße Brote;
horké chleby (2.p.-bez členu);heißer Brote;
horké chleby (3.p.-bez členu);heißen Broten;
horké chleby (4.p.-bez členu);heiße Brote;
studená polévka (1.p.-bez členu);kalte Suppe;
studená polévka (2.p.-bez členu);kalter Suppe;
studená polévka (3.p.-bez členu);kalter Suppe;
studená polévka (4.p.-bez členu);kalte Suppe;
studené polévky (1.p.-bez členu);kalte Suppen;
studené polévky (2.p.-bez členu);kalter Suppen;
studené polévky (3.p.-bez členu);kalten Suppen;
studené polévky (4.p.-bez členu);kalte Suppen;
studené víno (1.p.-bez členu);kalter Wein;
studené víno (2.p.-bez členu);kalten Weins;
studené víno (3.p.-bez členu);kaltem Wein;
studené víno (4.p.-bez členu);kalten Wein;
studená vína (1.p.-bez členu);kalte Weine;
studená vína (2.p.-bez členu);kalter Weine;
studená vína (3.p.-bez členu);kalten Weinen;
studená vína (4.p.-bez členu);kalte Weine;
dobrá práce (1.p.-bez členu);gute Arbeit;
dobrá práce (2.p.-bez členu);guter Arbeit;
dobrá práce (3.p.-bez členu);guter Arbeit;
dobrá práce (4.p.-bez členu);gute Arbeit;
dobré práce (1.p.-bez členu);gute Arbeiten;"Množné číslo slova ""die Arbeit"" je ""die Arbeiten"" (s koncovkou ""-en"") ne ""Arbeite"" – chybí koncové ""n"""
dobré práce (2.p.-bez členu);guter Arbeiten;"Množné číslo slova ""die Arbeit"" je ""die Arbeiten"" (s koncovkou ""-en"") ne ""Arbeite"" – chybí koncové ""n"""
dobré práce (3.p.-bez členu);guten Arbeitn;"Množné číslo slova ""die Arbeit"" je ""die Arbeiten"" (s koncovkou ""-en"") ne ""Arbeite"" – chybí koncové ""n"""
dobré práce (4.p.-bez členu);gute Arbeite;"Množné číslo slova ""die Arbeit"" je ""die Arbeiten"" (s koncovkou ""-en"") ne ""Arbeite"" – chybí koncové ""n"""
dobrý úspěch (1.p.-bez členu);guter Erfolg;
dobrý úspěch (2.p.-bez členu);guten Erfolgs;
dobrý úspěch (3.p.-bez členu);gutem Erfolg;
dobrý úspěch (4.p.-bez členu);guten Erfolg;
dobré úspěchy (1.p.-bez členu);gute Erfolge;
dobré úspěchy (2.p.-bez členu);guter Erfolge;
dobré úspěchy (3.p.-bez členu);guten Erfolgen;
dobré úspěchy (4.p.-bez členu);gute Erfolge;
dobré víno (1.p.-bez členu);guter Wein;
dobré víno (2.p.-bez členu);guten Weins;
dobré víno (3.p.-bez členu);gutem Wein;
dobré víno (4.p.-bez členu);guten Wein;
dobrá vína (1.p.-bez členu);gute Weine;
dobrá vína (2.p.-bez členu);guter Weine;
dobrá vína (3.p.-bez členu);guten Weinen;
dobrá vína (4.p.-bez členu);gute Weine;